City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,-34.64,99,9,3.8,clear sky
1,Torbay,CA,47.6666,-52.7314,32.95,95,100,10.36,fog
2,Camacha,PT,33.0833,-16.3333,68.54,82,20,3.44,few clouds
3,Avarua,CK,-21.2078,-159.775,77.05,83,20,4.61,few clouds
4,Yar-Sale,RU,66.8333,70.8333,6.1,97,100,2.8,light snow
5,Sirvintos,LT,55.05,24.95,29.75,94,98,13.22,overcast clouds
6,Nanortalik,GL,60.1432,-45.2371,10.89,83,100,41.96,light snow
7,Sarangani,PH,5.4033,125.4636,80.87,72,100,20.4,overcast clouds
8,Lake City,US,30.1897,-82.6393,78.85,61,100,13.8,overcast clouds
9,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.03,50,67,2.66,broken clouds
10,Qingyuan,CN,23.7,113.0333,46.38,82,6,5.57,clear sky
11,New Norfolk,AU,-42.7826,147.0587,57.92,75,85,2.06,overcast clouds
12,Diu,IN,20.7141,70.9822,64.83,54,1,5.99,clear sky
13,Talcher,IN,20.95,85.2167,68.05,61,16,3.71,few clouds
14,Ambilobe,MG,-13.2,49.05,78.1,83,100,11.88,light rain
15,Rikitea,PF,-23.1203,-134.9692,78.22,71,87,9.57,light rain
16,Mount Gambier,AU,-37.8333,140.7667,53.51,94,12,8.05,few clouds
17,Yulara,AU,-25.2406,130.9889,68.45,38,2,8.21,clear sky
18,Balkhash,KZ,46.844,74.9804,8.71,82,5,12.53,clear sky
19,Arman,RU,59.7,150.1667,-2.45,72,96,12.26,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,19.29,95,81,7.78,broken clouds
21,Wanning,CN,18.8003,110.3967,62.24,87,100,10.2,overcast clouds
22,Longkou,CN,37.6508,120.3286,28.69,41,11,14.79,few clouds
23,Benguela,AO,-12.5763,13.4055,78.12,65,97,8.23,overcast clouds
24,Haimen,CN,23.1935,116.6142,54.39,76,100,9.35,overcast clouds
25,Pevek,RU,69.7008,170.3133,-24.41,100,93,3.85,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,-7.08,62,86,8.95,overcast clouds
27,Coihaique,CL,-45.5752,-72.0662,66.72,48,85,0.65,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,78.55,85,42,4.0,scattered clouds
29,Yellowknife,CA,62.456,-114.3525,-33.72,67,20,3.44,mist
30,Khatanga,RU,71.9667,102.5,-35.09,100,98,3.38,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,49.48,98,100,2.15,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,60.8,40,54,2.39,broken clouds
33,Chuy,UY,-33.6971,-53.4616,80.76,69,36,6.15,scattered clouds
34,Touros,BR,-5.1989,-35.4608,86.74,54,66,16.53,broken clouds
35,Geraldton,AU,-28.7667,114.6,72.01,60,0,3.44,clear sky
36,Chokurdakh,RU,70.6333,147.9167,-30.73,100,61,1.52,broken clouds
37,Hobart,AU,-42.8794,147.3294,58.26,86,90,5.75,overcast clouds
38,Tamale,GH,9.4008,-0.8393,95.9,7,0,6.29,clear sky
39,Saskylakh,RU,71.9167,114.0833,-7.92,99,100,4.25,light snow
40,Raudeberg,NO,61.9875,5.1352,36.86,93,100,8.99,light snow
41,Pangody,RU,65.85,74.4859,9.34,97,100,2.39,light snow
42,Solhan,TR,38.9634,41.0293,26.6,97,100,2.3,overcast clouds
43,Kaitangata,NZ,-46.2817,169.8464,51.93,80,100,5.48,overcast clouds
44,Mehamn,NO,71.0357,27.8492,13.95,85,0,28.77,clear sky
45,Serenje,ZM,-13.2325,30.2352,60.85,98,100,7.14,overcast clouds
46,Busselton,AU,-33.65,115.3333,71.1,67,0,5.41,clear sky
47,Meulaboh,ID,4.1363,96.1285,77.54,87,100,3.96,overcast clouds
48,Liku,ID,-0.7275,119.8922,75.06,94,96,1.1,overcast clouds
49,Eyrarbakki,IS,63.863,-21.1481,38.44,82,44,6.78,scattered clouds
50,Nidzica,PL,53.3605,20.4275,36.99,99,100,9.1,overcast clouds
51,Marawi,PH,7.9986,124.2928,64.65,90,100,2.98,overcast clouds
52,Ondangwa,NA,-17.9167,15.95,82.26,35,84,5.88,broken clouds
53,Hithadhoo,MV,-0.6,73.0833,82.29,73,50,11.32,scattered clouds
54,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,85.17,67,47,8.68,scattered clouds
55,Auki,SB,-8.7676,160.7034,77.29,88,100,4.88,overcast clouds
56,Carolina,PR,18.3808,-65.9574,79.48,92,75,13.8,shower rain
57,Albany,US,42.6001,-73.9662,27.09,87,100,1.01,overcast clouds
58,Lichinga,MZ,-13.3128,35.2406,63.14,97,62,7.72,light rain
59,Spilimbergo,IT,46.1125,12.8969,49.93,74,95,3.31,overcast clouds
60,Portland,US,45.5234,-122.6762,40.24,95,75,1.01,fog
61,Ndioum,SN,16.5129,-14.6471,92.64,5,0,10.09,clear sky
62,Punta Arenas,CL,-53.15,-70.9167,50.11,49,9,6.55,clear sky
63,Jamestown,US,42.097,-79.2353,22.32,62,100,4.0,overcast clouds
64,Baker City,US,44.7749,-117.8344,31.14,90,92,6.33,overcast clouds
65,Santo Antonio Do Ica,BR,-3.1022,-67.9397,81.99,83,100,2.66,overcast clouds
66,Bluff,NZ,-46.6,168.3333,49.8,65,61,9.86,broken clouds
67,Longyearbyen,SJ,78.2186,15.6401,15.64,62,0,25.32,clear sky
68,Hilo,US,19.7297,-155.09,69.24,76,100,6.91,overcast clouds
69,Atuona,PF,-9.8,-139.0333,78.39,76,10,16.58,clear sky
70,Cape Town,ZA,-33.9258,18.4232,71.35,51,1,5.99,clear sky
71,Barrow,US,71.2906,-156.7887,-22.58,99,92,8.63,overcast clouds
72,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,14.97,few clouds
73,Acapulco,MX,16.8634,-99.8901,80.83,54,0,4.81,clear sky
74,Quatre Cocos,MU,-20.2078,57.7625,80.1,86,100,15.82,light rain
75,Tuktoyaktuk,CA,69.4541,-133.0374,-25.38,100,47,9.84,scattered clouds
76,Lima,PE,-12.0432,-77.0282,75.45,61,0,5.75,clear sky
77,Mahebourg,MU,-20.4081,57.7,80.26,89,75,11.5,broken clouds
78,Port Alfred,ZA,-33.5906,26.891,68.4,79,100,8.86,light rain
79,Shurugwi,ZW,-19.6702,30.0059,69.06,60,15,4.23,few clouds
80,Mitsamiouli,KM,-11.3847,43.2844,81.97,79,69,10.69,light rain
81,Honiara,SB,-9.4333,159.95,77.83,88,100,2.55,overcast clouds
82,Vaini,TO,-21.2,-175.2,75.36,100,100,6.91,heavy intensity rain
83,Aku,NG,6.7081,7.3167,92.3,12,1,6.04,clear sky
84,Bengkulu,ID,-3.8004,102.2655,73.56,97,100,7.45,light rain
85,Jardim,BR,-21.4803,-56.1381,89.91,49,95,9.62,overcast clouds
86,Great Falls,US,47.5002,-111.3008,40.41,58,74,20.24,broken clouds
87,Porgera,PG,-5.4667,143.2,40.6,89,100,1.83,overcast clouds
88,Husavik,IS,66.0449,-17.3389,26.51,91,100,18.39,light snow
89,Verkhnyaya Toyma,RU,62.2349,44.9985,-12.32,100,63,2.19,broken clouds
90,Platteville,US,42.7342,-90.4785,14.59,72,100,10.36,overcast clouds
91,Iqaluit,CA,63.7506,-68.5145,-20.79,77,100,7.29,overcast clouds
92,Sao Filipe,CV,14.8961,-24.4956,74.82,68,0,7.74,clear sky
93,Lebu,CL,-37.6167,-73.65,64.87,76,10,16.44,clear sky
94,Yerbogachen,RU,61.2767,108.0108,-20.29,100,87,2.62,overcast clouds
95,Shellbrook,CA,53.2168,-106.4011,-12.37,91,100,9.4,overcast clouds
96,Mirnyy,RU,62.5353,113.9611,-18.29,100,91,1.34,overcast clouds
97,Kavieng,PG,-2.5744,150.7967,82.29,71,100,9.13,overcast clouds
98,Cabo San Lucas,MX,22.8909,-109.9124,70.52,53,0,1.41,clear sky
99,Pacific Grove,US,36.6177,-121.9166,55.58,61,0,1.01,clear sky
100,Shasta Lake,US,40.6804,-122.3708,51.76,52,89,2.53,overcast clouds
101,Tiznit,MA,29.5833,-9.5,68.94,31,90,7.96,overcast clouds
102,San Jeronimo,PE,-11.9472,-75.2829,60.44,54,98,2.84,overcast clouds
103,Samarai,PG,-10.6167,150.6667,81.03,81,96,8.84,overcast clouds
104,Vilyuysk,RU,63.7553,121.6247,-32.67,100,84,2.98,broken clouds
105,Bataipora,BR,-22.2953,-53.2711,78.35,83,99,7.52,overcast clouds
106,Sal Rei,CV,16.1833,-22.9167,75.76,73,20,18.41,few clouds
107,Bandarbeyla,SO,9.4942,50.8122,76.03,61,2,11.63,clear sky
108,Severo-Kurilsk,RU,50.6789,156.125,27.09,87,100,3.67,overcast clouds
109,Valleyview,CA,55.0667,-117.2859,16.59,91,100,3.02,overcast clouds
110,San Patricio,US,28.017,-97.5169,34.21,45,30,19.73,scattered clouds
111,Upernavik,GL,72.7868,-56.1549,4.03,97,100,7.25,overcast clouds
112,Plainview,US,40.7765,-73.4673,39.51,83,100,4.0,moderate rain
113,Hermanus,ZA,-34.4187,19.2345,75.9,56,7,21.61,clear sky
114,Ostrovnoy,RU,68.0531,39.5131,3.85,97,87,11.01,overcast clouds
115,Tortosa,ES,40.8125,0.5216,65.55,50,93,5.41,overcast clouds
116,Dikson,RU,73.5069,80.5464,-2.47,89,100,5.91,overcast clouds
117,Hofn,IS,64.2539,-15.2082,29.1,55,2,12.44,clear sky
118,Talnakh,RU,69.4865,88.3972,-4.58,96,99,7.61,overcast clouds
119,Port Blair,IN,11.6667,92.75,78.55,82,58,4.99,broken clouds
120,Bhuj,IN,23.2667,69.6667,63.61,69,0,7.18,clear sky
121,Butaritari,KI,3.0707,172.7902,82.09,75,11,17.85,light rain
122,Tucuman,AR,-26.8241,-65.2226,81.19,75,23,6.22,few clouds
123,Gizo,SB,-8.103,156.8419,82.26,82,100,11.05,overcast clouds
124,Cidreira,BR,-30.1811,-50.2056,76.8,77,95,5.01,overcast clouds
125,Gambo,CF,4.6482,22.2633,83.52,23,77,2.39,broken clouds
126,Bull Savanna,JM,17.8868,-77.5902,81.55,57,1,4.9,clear sky
127,Cayenne,GF,4.9333,-52.3333,84.24,83,40,7.0,scattered clouds
128,Virden,US,39.5009,-89.7679,18.39,81,90,6.85,overcast clouds
129,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,68,20,5.01,few clouds
130,Kapaa,US,22.0752,-159.319,66.18,94,0,6.91,clear sky
131,Oswego,US,43.4501,-76.1497,20.91,89,100,5.01,light snow
132,Castro,BR,-24.7911,-50.0119,66.24,97,100,8.7,overcast clouds
133,Nome,US,64.5011,-165.4064,7.11,64,100,13.51,overcast clouds
134,Dunedin,NZ,-45.8742,170.5036,53.8,93,100,8.99,overcast clouds
135,Shingu,JP,33.7333,135.9833,41.92,64,2,11.59,clear sky
136,Constitucion,CL,-35.3333,-72.4167,68.92,69,12,10.13,few clouds
137,Kodiak,US,57.79,-152.4072,31.51,86,40,0.0,scattered clouds
138,Ariquemes,BR,-9.9133,-63.0408,84.4,69,97,4.9,overcast clouds
139,Mar Del Plata,AR,-38.0023,-57.5575,73.42,91,20,5.99,few clouds
140,Spassk,RU,52.747,87.7545,2.23,99,56,2.77,broken clouds
141,Kilindoni,TZ,-7.9139,39.6668,81.63,78,100,13.69,overcast clouds
142,Sitka,US,57.0531,-135.33,42.69,87,100,14.97,moderate rain
143,Faanui,PF,-16.4833,-151.75,80.44,73,19,14.7,few clouds
144,Dongsheng,CN,39.8161,109.9776,9.81,61,0,6.71,clear sky
145,Grand Gaube,MU,-20.0064,57.6608,80.38,82,100,7.0,overcast clouds
146,Bredasdorp,ZA,-34.5322,20.0403,68.29,52,33,15.37,scattered clouds
147,Esperance,AU,-33.8667,121.9,65.44,74,0,15.59,clear sky
148,Ishigaki,JP,24.3448,124.1572,63.28,77,100,27.25,overcast clouds
149,Oktyabrskiy,RU,54.4815,53.471,27.55,87,100,10.42,overcast clouds
150,Pisco,PE,-13.7,-76.2167,74.01,68,0,10.36,clear sky
151,Marzuq,YE,14.4,46.4667,66.42,45,19,6.82,few clouds
152,Jilib,SO,0.4883,42.7854,77.05,73,98,10.76,overcast clouds
153,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,11.5,light rain
154,Katsuura,JP,35.1333,140.3,48.22,75,29,11.99,scattered clouds
155,Krasnoselkup,RU,65.7,82.4667,15.96,96,100,6.44,light snow
156,Laguna,US,38.421,-121.4238,57.09,82,0,1.01,mist
157,Lavrentiya,RU,65.5833,-171.0,1.11,53,0,17.65,clear sky
158,Ribeira Grande,PT,38.5167,-28.7,61.2,82,40,16.11,scattered clouds
159,Broome,US,42.2506,-75.833,23.77,76,100,1.99,light snow
160,Soyo,AO,-6.1349,12.3689,79.99,68,95,8.01,overcast clouds
161,Luderitz,NA,-26.6481,15.1594,74.93,60,6,17.11,clear sky
162,Tasiilaq,GL,65.6145,-37.6368,17.76,67,100,38.36,overcast clouds
163,Banda Aceh,ID,5.5577,95.3222,78.73,81,50,6.33,scattered clouds
164,Rocha,UY,-34.4833,-54.3333,79.0,67,55,12.53,broken clouds
165,Korocha,RU,50.8107,37.1953,27.32,94,45,7.61,scattered clouds
166,Florida,US,28.7505,-82.5001,82.09,67,75,3.0,broken clouds
167,Victoria,HK,22.2855,114.1577,57.33,74,15,3.0,few clouds
168,Thompson,CA,55.7435,-97.8558,-18.51,86,6,6.8,clear sky
169,Bulungu,CD,-4.55,18.6,74.28,88,100,3.44,overcast clouds
170,Eyl,SO,7.9803,49.8164,74.44,60,10,14.65,clear sky
171,Georgetown,MY,5.4112,100.3354,78.89,92,40,0.0,scattered clouds
172,Usinsk,RU,65.9939,57.5281,-4.22,100,90,6.38,overcast clouds
173,Norman Wells,CA,65.282,-126.8329,-26.81,93,87,8.93,overcast clouds
174,Erding,DE,48.306,11.9069,44.82,81,20,5.75,few clouds
175,Tiksi,RU,71.6872,128.8694,-20.56,98,99,7.38,overcast clouds
176,Kahului,US,20.8947,-156.47,67.84,81,0,5.75,clear sky
177,Kiev,UA,50.4333,30.5167,21.72,68,0,0.0,clear sky
178,Ilulissat,GL,69.2167,-51.1,17.62,53,75,19.57,broken clouds
179,Tigil,RU,57.8,158.6667,2.79,91,77,3.04,broken clouds
180,Maracas,BR,-13.4411,-40.4308,83.95,40,40,4.14,scattered clouds
181,Tilichiki,RU,60.4667,166.1,-5.39,83,87,8.21,overcast clouds
182,Sujangarh,IN,27.7011,74.4649,58.84,42,0,8.37,clear sky
183,Baruun-Urt,MN,46.6806,113.2792,-5.28,91,14,7.52,few clouds
184,Dudinka,RU,69.4058,86.1778,0.77,97,99,6.17,overcast clouds
185,Sistranda,NO,63.7256,8.834,38.89,61,91,20.29,overcast clouds
186,Kavaratti,IN,10.5669,72.642,79.12,63,61,11.81,broken clouds
187,Galeana,MX,24.8333,-100.0667,62.31,59,78,6.11,broken clouds
188,Palmer,US,42.1584,-72.3287,35.15,100,100,9.22,mist
189,Jardim De Piranhas,BR,-6.3786,-37.3519,95.85,31,99,5.37,overcast clouds
190,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,78,40,13.8,scattered clouds
191,Santa Ines,BR,-3.6667,-45.38,83.05,81,95,3.74,overcast clouds
192,Lorengau,PG,-2.0226,147.2712,80.42,76,78,7.0,broken clouds
193,Montbrison,FR,45.6667,4.0833,48.54,79,99,2.24,overcast clouds
194,Ippy,CF,6.2679,21.2247,88.65,15,60,0.83,broken clouds
195,Ucluelet,CA,48.9329,-125.5528,46.09,94,100,4.0,overcast clouds
196,Altayskoye,RU,51.9533,85.3325,6.57,90,8,5.7,clear sky
197,Dali,CN,25.7,100.1833,43.16,73,3,3.78,clear sky
198,Yelizovo,RU,53.1873,158.3805,13.42,78,97,8.86,overcast clouds
199,Muli,MV,2.9167,73.5667,82.22,72,82,9.8,broken clouds
200,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,100.22,30,54,16.4,broken clouds
201,Mantua,IT,45.1667,10.7833,50.81,88,100,3.38,overcast clouds
202,Taraz,KZ,42.9,71.3667,36.28,93,100,4.47,mist
203,Hanna,CA,51.6334,-111.9018,0.86,80,100,13.0,overcast clouds
204,Nantucket,US,41.2835,-70.0995,43.03,100,100,29.08,light rain
205,Tirano,IT,46.2154,10.1679,47.17,78,13,3.49,few clouds
206,Byron Bay,AU,-28.65,153.6167,69.87,63,100,21.41,overcast clouds
207,Hambantota,LK,6.1241,81.1185,76.6,78,28,7.2,scattered clouds
208,Uberlandia,BR,-18.9186,-48.2772,80.53,61,91,5.95,overcast clouds
209,Tuni,IN,17.35,82.55,71.8,90,7,5.19,clear sky
210,Yaounde,CM,3.8667,11.5167,82.56,27,82,2.17,broken clouds
211,Mount Isa,AU,-20.7333,139.5,73.17,38,74,10.36,broken clouds
212,Presidente Medici,BR,-11.1753,-61.9014,85.51,69,87,5.08,overcast clouds
213,Roald,NO,62.5833,6.1333,37.99,87,75,32.21,broken clouds
214,Ponta Do Sol,PT,32.6667,-17.1,71.01,79,83,1.3,broken clouds
215,Pangnirtung,CA,66.1451,-65.7125,-19.79,97,100,6.26,overcast clouds
216,Labytnangi,RU,66.6572,66.4183,6.84,96,100,4.07,overcast clouds
217,Jasper,US,37.2001,-94.3502,24.03,64,0,1.01,clear sky
218,Port-Cartier,CA,50.0334,-66.8654,3.74,71,59,5.61,broken clouds
219,Arrecife,ES,28.963,-13.5477,69.87,68,0,6.91,clear sky
220,Port Hardy,CA,50.6996,-127.4199,46.76,93,100,13.33,moderate rain
221,Kondopoga,RU,62.2057,34.2614,-3.87,100,96,4.18,overcast clouds
222,Te Anau,NZ,-45.4167,167.7167,44.78,95,97,3.98,overcast clouds
223,Cabano,PH,10.5869,122.7002,77.11,84,100,22.41,overcast clouds
224,Chervona Sloboda,UA,49.3789,32.1464,17.08,95,17,5.68,few clouds
225,Iznoski,RU,54.9881,35.3108,18.91,96,100,2.13,overcast clouds
226,College,US,64.8569,-147.8028,1.72,70,100,3.44,light snow
227,Ust-Nera,RU,64.5667,143.2,-19.43,79,28,0.47,scattered clouds
228,Manggar,ID,-2.8833,108.2667,79.11,84,65,7.18,broken clouds
229,Pathein,MM,16.7833,94.7333,69.98,70,30,5.28,scattered clouds
230,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.78,58,89,3.33,overcast clouds
231,Hasaki,JP,35.7333,140.8333,28.8,77,99,8.7,overcast clouds
232,Opuwo,NA,-18.0607,13.84,83.16,24,53,18.86,broken clouds
233,Taltal,CL,-25.4,-70.4833,70.05,67,6,6.42,clear sky
234,San Cristobal,VE,7.7669,-72.225,73.58,47,53,1.19,broken clouds
235,Half Moon Bay,US,37.4636,-122.4286,55.31,79,0,0.0,clear sky
